sample	user_id	group	r1	r2
nr48	C3-DD-46	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr48-C3-DD-46.v1_ATCACG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr48-C3-DD-46.v1_ATCACG_R2.fastq.gz
nr49	C2-DD-1	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr49-C2-DD-1.v1_GCCAAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr49-C2-DD-1.v1_GCCAAT_R2.fastq.gz
nr50	C2-DD-7	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr50-C2-DD-7.v1_ATTCCT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr50-C2-DD-7.v1_ATTCCT_R2.fastq.gz
nr51	C2-DD-23	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr51-C2-DD-23.v1_GGCTAC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr51-C2-DD-23.v1_GGCTAC_R2.fastq.gz
nr52	C3-NN-27	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr52-C3-NN-27.v1_ACAGTG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr52-C3-NN-27.v1_ACAGTG_R2.fastq.gz
nr53	C3-NN-28	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr53-C3-NN-28.v1_ACTTGA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr53-C3-NN-28.v1_ACTTGA_R2.fastq.gz
nr54	C2-NN-33	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr54-C2-NN-33.v1_TGACCA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr54-C2-NN-33.v1_TGACCA_R2.fastq.gz
nr55	C3-NN-35	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr55-C3-NN-35.v1_ACAGTG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr55-C3-NN-35.v1_ACAGTG_R2.fastq.gz
nr56	C2-DD-38	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr56-C2-DD-38.v1_CGATGT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr56-C2-DD-38.v1_CGATGT_R2.fastq.gz
nr57	C3-DD-42	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr57-C3-DD-42.v1_GATGCT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr57-C3-DD-42.v1_GATGCT_R2.fastq.gz
nr58	C3-DD-47	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr58-C3-DD-47.v1_GGCTAC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr58-C3-DD-47.v1_GGCTAC_R2.fastq.gz
nr59	C2-NN-49	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr59-C2-NN-49.v1_CAAAAG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr59-C2-NN-49.v1_CAAAAG_R2.fastq.gz
nr60	C3-NN-49	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr60-C3-NN-49.v1_CTTGTA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr60-C3-NN-49.v1_CTTGTA_R2.fastq.gz
nr61	C3-NN-4	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr61-C3-NN-4.v1_ACAGTG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr61-C3-NN-4.v1_ACAGTG_R2.fastq.gz
nr62	C3-NN-6	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr62-C3-NN-6.v1_CTTGTA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr62-C3-NN-6.v1_CTTGTA_R2.fastq.gz
nr63	C3-NN-7	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr63-C3-NN-7.v1_ACTTGA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr63-C3-NN-7.v1_ACTTGA_R2.fastq.gz
nr64	C2-NN-12	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr64-C2-NN-12.v1_CAGATC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr64-C2-NN-12.v1_CAGATC_R2.fastq.gz
nr65	C2-NN-14	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr65-C2-NN-14.v1_ACTGAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr65-C2-NN-14.v1_ACTGAT_R2.fastq.gz
nr66	C2-NN-16	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr66-C2-NN-16.v1_GATCAG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr66-C2-NN-16.v1_GATCAG_R2.fastq.gz
nr67	C3-DD-17	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr67-C3-DD-17.v1_TGACCA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr67-C3-DD-17.v1_TGACCA_R2.fastq.gz
nr68	C3-DD-22	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr68-C3-DD-22.v1_ATCACG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr68-C3-DD-22.v1_ATCACG_R2.fastq.gz
nr69	C3-DD-24	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr69-C3-DD-24.v1_TTAGGC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr69-C3-DD-24.v1_TTAGGC_R2.fastq.gz
nr70	C3-DD-38	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr70-C3-DD-38.v1_GATGCT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr70-C3-DD-38.v1_GATGCT_R2.fastq.gz
nr71	C3-NN-39	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr71-C3-NN-39.v1_TTAGGC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr71-C3-NN-39.v1_TTAGGC_R2.fastq.gz
nr72	C3-DD-49	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr72-C3-DD-49.v1_CTTGTA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr72-C3-DD-49.v1_CTTGTA_R2.fastq.gz
nr73	C3-NN-5	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr73-C3-NN-5.v1_CAGATC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr73-C3-NN-5.v1_CAGATC_R2.fastq.gz
nr74	C3-DD-10	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr74-C3-DD-10.v1_ATGAGC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr74-C3-DD-10.v1_ATGAGC_R2.fastq.gz
nr75	C3-DD-15	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr75-C3-DD-15.v1_ATGAGC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr75-C3-DD-15.v1_ATGAGC_R2.fastq.gz
nr76	C3-NN-17	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr76-C3-NN-17.v1_GATGCT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr76-C3-NN-17.v1_GATGCT_R2.fastq.gz
nr77	C2-DD-25	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr77-C2-DD-25.v1_ATTCCT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr77-C2-DD-25.v1_ATTCCT_R2.fastq.gz
nr78	C2-NN-29	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr78-C2-NN-29.v1_GATCAG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr78-C2-NN-29.v1_GATCAG_R2.fastq.gz
nr79	C1-NN-30	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr79-C1-NN-30.v1_ATGAGC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr79-C1-NN-30.v1_ATGAGC_R2.fastq.gz
nr80	C1-NN-34	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr80-C1-NN-34.v1_CGATGT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr80-C1-NN-34.v1_CGATGT_R2.fastq.gz
nr81	C3-DD-34	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr81-C3-DD-34.v1_CTTGTA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr81-C3-DD-34.v1_CTTGTA_R2.fastq.gz
nr82	C1-NN-38	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr82-C1-NN-38.v1_GATCAG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr82-C1-NN-38.v1_GATCAG_R2.fastq.gz
nr83	C2-NN-39	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr83-C2-NN-39.v1_GCCAAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr83-C2-NN-39.v1_GCCAAT_R2.fastq.gz
nr84	C2-NN-46	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr84-C2-NN-46.v1_GATGCT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr84-C2-NN-46.v1_GATGCT_R2.fastq.gz
nr85	C2-NN-1	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr85-C2-NN-1.v1_ACAGTG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr85-C2-NN-1.v1_ACAGTG_R2.fastq.gz
nr86	C2-NN-15	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr86-C2-NN-15.v1_GGCTAC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr86-C2-NN-15.v1_GGCTAC_R2.fastq.gz
nr87	C3-NN-17	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr87-C3-NN-17.v1_GGCTAC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr87-C3-NN-17.v1_GGCTAC_R2.fastq.gz
nr88	C2-NN-21	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr88-C2-NN-21.v1_TTAGGC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr88-C2-NN-21.v1_TTAGGC_R2.fastq.gz
nr89	C3-NN-26	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr89-C3-NN-26.v1_ACTGAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr89-C3-NN-26.v1_ACTGAT_R2.fastq.gz
nr90	C2-NN-27	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr90-C2-NN-27.v1_CGATGT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr90-C2-NN-27.v1_CGATGT_R2.fastq.gz
nr91	C2-NN-34	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr91-C2-NN-34.v1_CAAAAG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr91-C2-NN-34.v1_CAAAAG_R2.fastq.gz
nr92	C1-NN-35	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr92-C1-NN-35.v1_CGATGT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr92-C1-NN-35.v1_CGATGT_R2.fastq.gz
nr93	C2-NN-40	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr93-C2-NN-40.v1_TGACCA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr93-C2-NN-40.v1_TGACCA_R2.fastq.gz
nr94	C1-NN-52	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr94-C1-NN-52.v1_GCCAAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr94-C1-NN-52.v1_GCCAAT_R2.fastq.gz
